Obs,Date,Population,Elevation,PAR,Individual,Bad
1,20250130,S14,NA,686,T03P09,1
2,20250130,S13,NA,686,T08P02,1
3,20250130,S02,NA,686,T06P01,1
4,20250130,S02,NA,686,T09P30,1
5,20250130,S02,NA,686,T02P05,1
6,20250131,S12,Low,686,T03P04,
7,20250131,S05,NA,686,T01P11,1
8,20250131,S10,Mid,686,T10P01,
9,20250131,S12,High,686,,
10,20250131,S05,High,686,T01P01,
11,20250131,S10,Mid,686,T03P04,
12,20250131,,,686,,
13,20250131,S05,High,686,T01P01r2,
14,20250131,S10,Mid,686,T02P04,
15,20230201,S06,High,686,T02P29,
16,20230201,S14,High,686,T05P12,
17,20230201,S07,High,686,T09P05,
18,20230201,S07,High,686,T08P02,
19,20230201,S13,High,686,T07P01r2,
20,20230201,S09,Mid,686,T05P02,
21,20230201,S06,High,686,T01P06,
22,20230201,S14,High,686,T03P09,
23,20230201,S09,Mid,686,T07P01,
24,20230201,S13,High,686,T10P03r2,
25,20230201,S14,High,686,T04P02,
26,20230201,S09,Mid,686,,
27,20230202,S10,Mid,686,T01P01,
28,20230202,S07,High,686,T07P18,
29,20230202,S14,High,686,T05P07,
30,20230202,S13,High,686,T02P07r2,
31,20230202,S06,High,686,T05P24,
32,20230202,S09,Mid,686,T08P01,
33,20230202,S10,Mid,686,T07P07,
34,20230202,S12,High,686,T05P09,
35,20230202,S05,High,686,T03P06,
36,20230202,S12,High,686,T04P03,
37,20230203,S12,High,686,T01P01,
38,20230203,S09,Mid,686,T06P13,
40,20230203,S06,High,686,T05P27,
41,20230203,S13,High,686,T04P04,
42,20230203,S05,High,686,T07P02,
43,20230203,S10,Mid,686,T05P03,
44,20230203,S14,High,686,T06P05,
45,20230203,S07,High,686,T05P09,
46,20230203,S09,Mid,686,T08P01,
47,20230204,S09,Mid,686,T02P12,
48,20230204,S07,High,686,T03P02,
49,20230204,S13,High,686,T06P09,
50,20230204,S06,High,686,T01P07,
51,20230204,S12,High,686,T09P01,
52,20230204,S05,High,686,T02P23,
53,20230205,S14,High,686,T05P05,
54,20230205,S07,High,686,T05P02,
55,20230205,S09,Mid,686,T06P02,
56,20230205,S13,High,686,T01P01,
57,20230205,S10,Mid,686,T09P03,
58,20230205,S06,High,686,T03P05,
59,20230205,-,,686,,
60,20230205,S07,High,686,T01P13,
61,20230205,S12,High,686,T08P03,
62,20230206,S13,High,686,T09P16,
63,20230206,S10,Mid,686,T08P06,
64,20230206,S06,High,686,T03P21,
65,20230206,S07,High,686,T02P08,
66,20230206,S10,Mid,686,T18P03,
67,20230206,S09,Mid,686,T02P04,
68,20230206,S14,High,686,T01P03,
69,20230206,S05,High,686,T02P07,
70,20230206,S10,Mid,686,T08P07,
72,20230206,S13,Low,686,T08P02,
73,20230206,S07,High,686,T04P04,
74,20230206,S09,Mid,686,T01P05,
