"code","site","tree","collection_date","collector","species","location","long","lat","transplant_date","status","block","within_block_position","treatment","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","elev_m"
"S01T01P03",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","4","E1","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T01P08",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","2","G3","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T01P12",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","3","C11","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T01P13",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","1","D4","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T01P16",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","5","F12","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T01P18",1,1,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2047204,-36.52938581,"5/2/2024","alive","5","B11","cold",8.38749980926514,9.24166679382324,41.0740737915039,479.327789306641,20.6000003814697,-1.89999997615814,22.5,7.63333320617676,14.1833333969116,14.216667175293,2.45000004768372,1384,155,73,20.428596496582,432,262,264,363,1271.62048339844
"S01T02P03",1,2,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2104012,-36.53110363,"5/7/2024","alive","3","G11","cold",8.02916622161865,9.22499942779541,40.6387672424316,482.415588378906,20.2999992370605,-2.40000009536743,22.6999988555908,7.28333330154419,13.8666667938232,13.8833332061768,2.04999995231628,1458,165,77,20.8108692169189,456,273,277,381,1356.22192382812
"S01T02P05",1,2,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2104012,-36.53110363,"5/7/2024","alive","5","E1","cold",8.02916622161865,9.22499942779541,40.6387672424316,482.415588378906,20.2999992370605,-2.40000009536743,22.6999988555908,7.28333330154419,13.8666667938232,13.8833332061768,2.04999995231628,1458,165,77,20.8108692169189,456,273,277,381,1356.22192382812
"S01T02P08",1,2,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2104012,-36.53110363,"5/7/2024","alive","2","A6","cold",8.02916622161865,9.22499942779541,40.6387672424316,482.415588378906,20.2999992370605,-2.40000009536743,22.6999988555908,7.28333330154419,13.8666667938232,13.8833332061768,2.04999995231628,1458,165,77,20.8108692169189,456,273,277,381,1356.22192382812
"S01T02P09",1,2,"2/7/2024","ZAR + BRY","pauciflora","Alpine Way, Kosciuszko",148.2104012,-36.53110363,"5/7/2024","alive","1","A9","cold",8.02916622161865,9.22499942779541,40.6387672424316,482.415588378906,20.2999992370605,-2.40000009536743,22.6999988555908,7.28333330154419,13.8666667938232,13.8833332061768,2.04999995231628,1458,165,77,20.8108692169189,456,273,277,381,1356.22192382812
