"id","z","T50_prime","T50","id_original","id_was_corrected"
"S05T03P06",1.64658019253264,47.2772247604883,46.2099204362376,"S03T03P06",TRUE
"S05T02P23",NA,NA,39.9112437988524,"S05P02T23",TRUE
"S05T01P01",3.44846445623313,50.1121322004454,NA,"S05T01P01",FALSE
"S05T01P11",3.11304564502953,48.6626242564498,42.9006886779557,"S05T01P11",FALSE
"S05T02P07",3.48045510076577,48.5932484768987,NA,"S05T02P09",TRUE
"S05T05P12",2.52365644996711,47.6270276513442,42.8086476323587,"S05T05P12",FALSE
"S05T07P02",4.6871896163728,49.8840920514448,42.8386308880058,"S05T07P02",FALSE
"S06T01P06",1.39851386614188,45.3184375683585,44.7418348198386,"S06T01P06",FALSE
"S06T01P07",2.41732996885112,45.6005379734964,41.3612125391352,"S06T01P07",FALSE
"S06T02P29",3.34755252095326,48.3523806579381,44.5145053469951,"S06T02P29",FALSE
"S06T03P05",3.01950290079559,48.0621122845823,42.7408160743325,"S06T03P05",FALSE
"S06T03P21",3.18932788425276,47.8180374107904,42.4485542822614,"S06T03P21",FALSE
"S06T05P24",0.824246040025458,44.8438168198343,42.9476148029903,"S06T05P24",FALSE
"S06T05P27",2.17030448892095,48.2907452108919,45.0920626699451,"S06T05P27",FALSE
"S07T01P13",2.11983083715399,45.2265003791457,42.3989700100882,"S07T01P13",FALSE
"S07T02P08",3.39569668799612,46.393831552221,40.7619348241737,"S07T02P08",FALSE
"S07T03P02",1.65649735847413,43.1741343230841,40.4019552155557,"S07T03P02",FALSE
"S07T04P04",1.51352536591416,44.6770515890381,43.4606493655358,"S07T04P04",FALSE
"S07T05P02",0.056660010303165,42.9632979269103,42.8896501413162,"S07T05P02",FALSE
"S07T07P18",NA,NA,43.9899139909349,"S07T07P18",FALSE
"S07T08P02",3.10161815031209,48.4653121930583,43.0303190659093,"S07T08P02",FALSE
"S07T09P05",5.04770938667933,50.3026596664708,43.1075938673291,"S07T09P05",FALSE
"S09T01P05",4.66666896819481,48.7598461403002,40.123292321919,"S09T01P05",FALSE
"S09T02P04",2.98687519824384,47.1607363768043,42.6928531725814,"S09T02P04",FALSE
"S09T02P012",2.14258991169709,42.8191713093424,40.0905264900417,"S09T02P12",TRUE
"S09T05P02",3.377348607278,47.7673693525649,43.1148562983158,"S09T05P02",FALSE
"S07T05P09",3.64112203043329,49.800885698759,43.0003797370344,"S09T05P09",TRUE
"S09T06P02",1.78872402887975,44.9352314107729,41.6242018431033,"S09T06P02",FALSE
"S09T06P13",3.09633446387131,48.6400575682021,43.8786145008143,"S09T06P13",FALSE
"S09T08T01",3.46614506299238,49.3729816861417,42.1551318745731,"S09T08P01",TRUE
"S10T01P01",3.39319154538533,49.8207709065299,42.9989586704952,"S10T01P01",FALSE
"S10T02P04",2.50105095621087,45.5162826325669,38.8137675406518,"S10T02P04",FALSE
"S10T03P04",1.78336362782028,45.9239165636603,43.0584145734547,"S10T03P04",FALSE
"S10T05P03",2.64958047991949,48.1046975665651,NA,"S10T05P03",FALSE
"S10T07P07",1.06867799901795,45.94262727695,45.1431142230451,"S10T07P07",FALSE
"S10T08P06",1.88307338327591,42.8694388172053,39.0839029936115,"S10T08P06",FALSE
"S10T08P07",1.0052559015966,40.7265127046756,39.1290735639829,"S10T08P07",FALSE
"S10T09P03",2.34525792634743,45.3876411796344,42.4676668822356,"S10T09P03",FALSE
"S10T10P01",1.28731775788899,44.2762436457275,42.971304352626,"S10T10P01",FALSE
"S10T18P03",3.73970042332154,47.9468196641661,42.4365539437583,"S10T18P03",FALSE
"S12T01P01",2.84708769289111,48.1807380664139,42.9322992389589,"S12T01P01",FALSE
"S12T02P01",3.88721803929479,47.7469438049666,40.8535585698128,"S12T02P01",FALSE
"S12T03P04",3.25873614084046,49.6531935049684,NA,"S12T03P07",TRUE
"S12T04P03",1.80848304507167,47.5388350024343,46.156060648937,"S12T04P03",FALSE
"S12T05P09",1.71773844037717,47.0318775238976,45.1951026376129,"S12T05P09",FALSE
"S12T08P03",2.20837491563675,46.1774743589105,43.5890012618821,"S12T08P03",FALSE
"S12T09P01",3.30396034359084,46.2755424696664,40.1203777831181,"S12T09P01",FALSE
"S13T01P01",2.23639345962509,46.7836434447622,42.8436038155133,"S13T01P01",FALSE
"S13T02P07",4.56883813019445,51.8083507693061,44.7012304076826,"S13T02P07",FALSE
"S13T04P02",3.84834651218358,49.207115284209,42.9737150902744,"S13T04P02",FALSE
"S13T06P09",1.86299893354536,43.4402904625808,40.6665517875247,"S13T06P09",FALSE
"S13T07P01",3.66935706604986,47.3781345237041,43.9224908123313,"S13T07P01",FALSE
"S13T08P02",4.70306702440192,48.52402394236,39.1096449411157,"S13T08P02",FALSE
"S13T09P16",2.58071194000923,45.4121150161497,40.3029397954569,"S13T09P16",FALSE
"S13T10P03",0.145890805390531,42.2398498550168,42.8235543875516,"S13T10P03",FALSE
"S14T01P03",2.95829126930209,47.4355447912815,42.3151520985207,"S14T01P03",FALSE
"S14T03P09",5.70974054414282,51.0058469396045,42.8697720487728,"S14T03P04",TRUE
"S14T04P02",2.98416321188656,46.839173322185,40.3841250497316,"S14T04P02",FALSE
"S14T05P05",3.6991246619909,49.8385115965211,42.7087270904982,"S14T05P05",FALSE
"S14T05P07",2.11159358288835,47.4894806644306,44.7867817284266,"S14T05P07",FALSE
"S14T05P12",5.77817367188495,52.3812827406109,44.032382585229,"S14T05P12",FALSE
"S14T06P05",2.92426703890973,47.9291808505809,42.9119264662337,"S14T06P05",FALSE
"S09T07P01",5.9618956794236,48.9940072630524,35.4853291071763,"S9T07P01",TRUE
