"","AOI","Temp","Time","id","final","initial"
"1","1","34","120","S12T03P07",0.694,0.757
"2","1","50","15","S12T03P07",0,0.686
"3","1","42","60","S12T03P07",0.65,0.7
"4","1","42","30","S12T03P07",0.729,0.737
"5","1","38","60","S12T03P07",0.654,0.68
"6","1","38","30","S12T03P07",0.752,0.74
"7","1","34","60","S12T03P07",0.604,0.687
"8","1","34","15","S12T03P07",0.766,0.745
"9","1","38","15","S12T03P07",0.74,0.675
"10","1","46","120","S12T03P07",0,0.681
"11","1","54","30","S12T03P07",0,0.714
"12","1","50","60","S12T03P07",0,0.751
"13","1","46","60","S12T03P07",0,0.733
"14","1","46","15","S12T03P07",0,0.741
"15","1","38","120","S12T03P07",0.706,0.726
"16","1","42","15","S12T03P07",0.77,0.741
"17","1","54","5","S12T03P07",0,0.678
"18","1","50","30","S12T03P07",0,0.732
"19","1","46","30","S12T03P07",0,0.737
"20","1","42","120","S12T03P07",0.744,0.785
"21","1","54","60","S12T03P07",0,0.752
"22","1","54","15","S12T03P07",0,0.709
"23","1","50","5","S12T03P07",0.102,0.673
"24","1","50","120","S12T03P07",0,0.732
"25","1","46","5","S12T03P07",0.494,0.735
"26","1","42","5","S12T03P07",0.765,0.733
"27","1","38","5","S12T03P07",0.784,0.769
"28","1","34","30","S12T03P07",0.744,0.751
"29","10","34","30","S05T01P11",0.729,0.762
"30","10","34","60","S05T01P11",0.698,0.765
"31","10","38","120","S05T01P11",0.707,0.752
"32","10","38","60","S05T01P11",0.747,0.754
"33","10","34","15","S05T01P11",0.772,0.756
"34","10","42","120","S05T01P11",0.715,0.776
"35","10","34","120","S05T01P11",0.675,0.764
"36","10","54","30","S05T01P11",0,0.768
"37","10","42","15","S05T01P11",0.762,0.731
"38","10","38","5","S05T01P11",0.764,0.743
"39","10","38","30","S05T01P11",0.768,0.759
"40","10","54","5","S05T01P11",0,0.747
"41","10","42","30","S05T01P11",0.728,0.771
"42","10","38","15","S05T01P11",0.781,0.736
"43","10","46","30","S05T01P11",0,0.752
"44","10","54","60","S05T01P11",0,0.793
"45","10","42","5","S05T01P11",0.76,0.751
"46","10","54","15","S05T01P11",0,0.768
"47","10","50","60","S05T01P11",0,0.756
"48","10","46","5","S05T01P11",0.422,0.755
"49","10","42","60","S05T01P11",0.729,0.762
"50","10","50","30","S05T01P11",0,0.764
"51","10","46","15","S05T01P11",0,0.784
"52","10","46","60","S05T01P11",0,0.728
"53","10","46","120","S05T01P11",0,0.76
"54","10","50","5","S05T01P11",0,0.72
"55","10","50","120","S05T01P11",0,0.762
"56","10","50","15","S05T01P11",0,0.747
"57","11","34","120","S05T01P01",0.687,0.742
"58","11","38","120","S05T01P01",0.712,0.749
"59","11","38","5","S05T01P01",0.76,0.736
"60","11","34","15","S05T01P01",0.796,0.772
"61","11","34","60","S05T01P01",0.653,0.755
"62","11","38","15","S05T01P01",0.783,0.739
"63","11","38","30","S05T01P01",0.763,0.757
"64","11","34","30","S05T01P01",0.735,0.759
"65","11","42","15","S05T01P01",0.762,0.737
"66","11","42","5","S05T01P01",0.773,0.763
"67","11","42","120","S05T01P01",0.674,0.75
"68","11","42","30","S05T01P01",0.689,0.753
"69","11","42","60","S05T01P01",0.749,0.756
"70","11","54","60","S05T01P01",0,0.796
"71","11","54","15","S05T01P01",0,0.721
"72","11","46","120","S05T01P01",0,0.734
"73","11","54","5","S05T01P01",0,0.727
"74","11","50","60","S05T01P01",0,0.745
"75","11","38","60","S05T01P01",0.78,0.758
"76","11","54","30","S05T01P01",0,0.771
"77","11","46","15","S05T01P01",0,0.771
"78","11","46","60","S05T01P01",0,0.761
"79","11","46","5","S05T01P01",0.419,0.729
"80","11","50","120","S05T01P01",0,0.761
"81","11","46","30","S05T01P01",0,0.767
"82","11","50","15","S05T01P01",0.379,0.748
"83","11","50","5","S05T01P01",0,0.745
"84","11","50","30","S05T01P01",0,0.77
"85","12","34","120","S10T03P04",0.63,0.743
"86","12","34","30","S10T03P04",0.717,0.761
"87","12","34","15","S10T03P04",0.776,0.748
"88","12","38","120","S10T03P04",0.679,0.747
"89","12","34","60","S10T03P04",0.562,0.755
"90","12","38","60","S10T03P04",0.713,0.737
"91","12","38","15","S10T03P04",0.77,0.747
"92","12","42","120","S10T03P04",0.736,0.764
"93","12","42","5","S10T03P04",0.736,0.733
"94","12","38","30","S10T03P04",0.745,0.736
"95","12","42","30","S10T03P04",0.741,0.763
"96","12","46","30","S10T03P04",0,0.734
"97","12","42","15","S10T03P04",0.723,0.734
"98","12","38","5","S10T03P04",0.741,0.742
"99","12","46","15","S10T03P04",0,0.734
"100","12","54","15","S10T03P04",0,0.71
"101","12","46","5","S10T03P04",0.41,0.756
"102","12","46","120","S10T03P04",0,0.74
"103","12","50","60","S10T03P04",0,0.763
"104","12","54","30","S10T03P04",0,0.748
"105","12","42","60","S10T03P04",0.693,0.744
"106","12","54","60","S10T03P04",0,0.774
"107","12","54","5","S10T03P04",0,0.729
"108","12","50","30","S10T03P04",0,0.754
"109","12","46","60","S10T03P04",0,0.755
"110","12","50","15","S10T03P04",0.371,0.751
"111","12","50","5","S10T03P04",0.156,0.756
"112","12","50","120","S10T03P04",0,0.741
"113","13","42","120","S12T03P07",0.653,0.746
"114","13","38","60","S12T03P07",0.744,0.756
"115","13","38","15","S12T03P07",0.697,0.684
"116","13","38","5","S12T03P07",0.761,0.752
"117","13","34","30","S12T03P07",0.75,0.762
"118","13","34","120","S12T03P07",0.652,0.745
"119","13","38","30","S12T03P07",0.736,0.72
"120","13","46","120","S12T03P07",0,0.725
"121","13","42","30","S12T03P07",0.679,0.703
"122","13","34","15","S12T03P07",0.757,0.718
"123","13","34","60","S12T03P07",0.716,0.748
"124","13","42","60","S12T03P07",0.668,0.734
"125","13","42","15","S12T03P07",0.72,0.735
"126","13","46","15","S12T03P07",0,0.729
"127","13","42","5","S12T03P07",0.761,0.749
"128","13","38","120","S12T03P07",0.637,0.73
"129","13","50","5","S12T03P07",0.155,0.718
"130","13","46","30","S12T03P07",0,0.7
"131","13","50","30","S12T03P07",0,0.724
"132","13","50","15","S12T03P07",0.365,0.722
"133","13","46","5","S12T03P07",0.484,0.713
"134","13","54","60","S12T03P07",0,0.76
"135","13","50","120","S12T03P07",0,0.739
"136","13","46","60","S12T03P07",0.132,0.718
"137","13","54","5","S12T03P07",0,0.675
"138","13","54","30","S12T03P07",0,0.692
"139","13","50","60","S12T03P07",0,0.746
"140","13","54","15","S12T03P07",0,0.737
"141","14","38","5","S05T05P12",0.748,0.728
"142","14","38","15","S05T05P12",0.775,0.751
"143","14","38","30","S05T05P12",0.737,0.728
"144","14","42","15","S05T05P12",0.739,0.757
"145","14","42","5","S05T05P12",0.758,0.75
"146","14","34","30","S05T05P12",0.728,0.759
"147","14","42","120","S05T05P12",0.733,0.774
"148","14","42","30","S05T05P12",0.7,0.742
"149","14","38","60","S05T05P12",0.751,0.751
