"Trait","N","Low","Mid","High","Min","Max","Mean","Median","SE"
"Amax",57,7,19,31,7.66,21.22,12.63,12.49,0.42
"Tbreadth",45,5,15,25,5.5,18.1,10.92,10.6,0.43
"Topt",57,7,19,31,24,38.66,32.76,32.91,0.37
"Ed_A",57,7,19,31,0.72,14.65,3.31,3.02,0.3
"Ea_PSII",54,7,19,28,153.9,675.7,318.93,310.23,14.48
"T50",53,7,18,28,35.49,46.21,42.29,42.81,0.28
"z",55,7,18,30,0.06,5.96,2.75,2.92,0.16
"CTmax_1min",55,7,18,30,40.73,51.81,46.92,47.44,0.32
"lnA_PSII",54,7,19,28,53.71,250.78,117.05,114.31,5.5
"gsw_mean_above30",57,7,19,31,0.07,0.42,0.22,0.21,0.01
