"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"Tbreadth",0.133966161798111,0.46556341138816,0.0815987006803751,0.312884151891125,-0.475127182008895,0.104598628549782,0.0555933236932981,-0.0857496458890728,0.642946377857456,0.015433925168873,0.00059546505217367
"Amax",0.431850994455504,0.0500308413366946,-0.291346396289082,0.0557104186527729,-0.173715461102106,-0.432502833474744,0.156950511921871,0.68525502994303,-0.0976194323637449,0.0451686044947706,0.00134984237910987
"Topt",-0.4285978168104,-0.243878825829215,0.0592757741352566,0.0760645922934487,0.149037959598861,-0.398807169646914,0.67270816789094,-0.0123611742913805,0.336827752725605,-0.0111421086824342,0.00139957319389892
"Ea_A",0.202917350508236,-0.309601159053027,0.0486070756137949,-0.662101274773088,0.0926643255149751,0.0896558415751395,-0.170937149812676,0.170517712732167,0.588701512335268,0.0271959204303437,0.00109083124216581
"Ed_A",-0.399314655009639,-0.19380373191049,-0.0108260731178396,0.416940113304465,0.123844299801711,-0.218948431608934,-0.643612558249166,0.299112269487485,0.243425375175938,0.0528592359692411,-0.00073793795837013
"T50",-0.239177798032872,-0.0859654415444329,0.16684981119401,-0.328054782029723,-0.659259629439444,-0.405030226007347,-0.158481152538863,-0.180428865103109,-0.188985387931302,0.328402700247358,0.00614164784342903
"Ea_PSII",-0.249463927128661,0.281573258837858,-0.547726798709182,-0.20693190882724,0.0450358635142939,-0.0421662909887183,-0.0504905271055234,-0.0738184761208857,0.0534019532607835,-0.045409603815171,0.706357063729624
"lnA_PSII",-0.243511156284699,0.280937694664891,-0.552987770804404,-0.202785740985706,0.0547024865194991,-0.0382384880786403,-0.0443668827528701,-0.0775851282123063,0.0565086516998936,0.0189164397758631,-0.706303986437356
"z",0.0283576259709958,0.48816321562493,0.305702827259747,-0.10222813786874,0.457476469019551,-0.159592056187278,-0.00901744449225984,0.0607066484805567,0.0089277142959332,0.646114256405458,0.0303877804517658
"CTmax_1min",-0.185652682043941,0.426619879961699,0.410018749415515,-0.264867549075349,0.0478907693972352,-0.232186286705279,-0.090311967708876,0.201567881302463,-0.0696715692814768,-0.658947187343159,-0.0346840476393665
"gsw_mean_above30",0.44410249505857,-0.0441654438513041,-0.0851873623999,0.0939609282296554,0.216144865148062,-0.583358314905653,-0.195988393941131,-0.562171860362131,0.105440873877991,-0.179221935712796,-0.00493833361204541
